,civil,prediction
0,eapByteBuffer[pos=0 lim=0 cap=0]] output: ByteBufferWrapper (884587465),0
1,"it looks like this will lead to a fork in the road, which is a real shame, but that's what happens if you throw your community off the boat.",1
2,The lack of consistency in my own ecosystem though.,0
3,"if (field!= null&& (frame.isClassOrEnumOrEnumconstDef() || checkLineNo(field, OBjCalledOn)) > object Concatenations would not cause NullPointerException even though ""object"" was mentioned",0
4,no one on the list ever replied.,0
5,"I PushTextSendJob: [B79876d5-f4c8-44c7-84d6-9e3f956b74dc] Sent message: 36998 (Time since Submission: 720847 ms, Lifespan:",0
6,"Of course, this is not a complaint, just a suggestion, please do not take it that way.",0
7,"* If the Rstudio team is indeed set to use electron, rather than qtwebengine or something else, I only ask two things: First: Please monitor resource usage in a fair way.",0
8,"please also consider the following change in IOSApplicationConfiguration: (A) Desktop can choose between different display modes (resolutions), (B) iOS can scale up to our needs if we retain an option in IOSApplicationConfiguration, and (C) on Android.",0
9,it'd be wrong to suggest that someone remove their human emotion when communicating with another person. I would not comment on this > despised suggestion.,1
10,let's celebrate another release.,0
11,St stated in trade statistics (that the offer has been accepted and becomes an offer),0
12,the users. This was no different from first TueCrypt users ([OTR] (http://whispersystems.org / blog / simplify-otr-deniability /) vs. [Plausible deniability] (http ,0
13,Static Collection Inet6Address> GetPositiveInetAddressesFor(final Inet6Address inet6Address) - if (!inet6Address.isSiteLocalAddress() &!inet6,0
14,then open a new ticket with your code and the error message.,0
15,.,0
16,"no, Red Herring!",0
17,"there is a fundamental design decision at the heart of the issue arising out of a wrong assumption about the spec, likely by reading too much into the example without properly understanding the spec itself (the Type ""Content"" field has an explicit map [String"", Media Type Object]",0
18,"I have tried all HLS streams in the demo app with speeds up to 2x (when possible, Apple master streams can't adjust speed), playback smooth, if we can talk about smoothness with content like that. 4K 60fps DASH is pretty smooth with speeds up to 1.5",0
19,"after a bit of digging, I found that the problem is with the special property ""home"": my environment has a variable ""%HOME%"" that keeps things up.",0
20,"we depend on that functionality in Chrome DevTools buildchain, and due to the problem, we cannot use newer versions of Closure Compiler.",0
21,(https://user-images.githubusercontent.com / 66265416 /179264816-26e82049-f7f5-4587-80a3-163d929e0564.png),0
22,"so in order to know what time of the kiosk you'll see, I would like to leave a header.",0
23,has anyone figured out how to get around that?,1
24,"that's exactly what everyone else does, which means we've come up with a generic solution, and most users know how to do it.",0
25,can I ask you to sign our CLA if you have not set it up?,0
26,"no-one from Signal noticed > @user closed #11114... and that's it... Come on, it's very annoying and clearly ""easy to fix"" if workarounds from #10929 make it work (I tried; and I had to teach my mom",0
27,"User Manual resizing of the images before sending them in a mobile messenger app seems to be the most uncomfortable thing I can imagine. It needs at least twice as much time in a point, shoot and send situation. Even common users don't even know what to do. I would like to",0
28,I use it for loading avatar images inside a game.,0
29,"that stories are one of the main reasons I migrated from YouTube, don't force me to go back again.",0
30,"I've tried it on Windows and both work, but it seems to me that it would make sense to go with what Microsoft recommends for their operating system.",0
31,each day of my life is a vacation.,1
32,"no, it was a reverse proxy issue.",0
33,"I couldn't figure out why it compiled on my machine & gave an OK build, but not on git. I got it wrong in the last commit On Fri Nov 2, 2018, 1:10 AM Manfred Karrer wrote: > Reply directly to this email, see it on ",0
34,"1, it's very frustrating.",0
35,"the json parser assumes that the larger datatype is not BigDecimal/BigInteger, so floating-point numbers will be detected by ""double"" rather than ""float"", and integers will be detected as ""long"" rather than ""integer."" You can",0
36,"the authors of the standard say that security depends on a working spam filter - does that sound like strong security? Pretty soon spammers will start inserting fake autocrypt headers in their messages, and it seems to work without autocrypt. And it'll be good reading how he did it.",0
37,"I've noticed that if you get the message that you have tried to register too many times, the system usually ""resets"" and allows you to try again after about one hour.",0
38,I've encountered other problems with audio. The only audo player that works for me so far is VLC.,0
39,It'll work without problems.,0
40,error 508.,0
41,"no> -> Pulsar://localhost:6650] Failed to establish connection: Consumer = client.subscribe('my-topic','my-subscription') so it is not related to the ""topic"" path/name.",0
42,"if there's a workaround, and we don't want to take on code for platforms not supported, I'll close the pull request.",0
43,I am able to reproduce this now: 1. User sends a message to the group: You will hear the group's sound (as expected) 2. User sends a message directly to them: You will hear the user's sound (as expected) 3. User sends a,0
44,I still see this problem in Android 5.1.1,0
45,"it doesn't even have to be a startup wizard - you can leave the question ""Revolution vs. casual texing"" at startup - and put the threat model wizard directly on the Settings menu - so the Security section of the Settings menu would not show you all the detail",0
46,thanks for the detailed report. You can send me the log file (manfred at Bitsquare Dot IO) together with trade ID and txIDs.,0
47,"user I haven't tested the issue with Linux, but there are other ways to do it: - increase window sizes, - add more arrays and allocations, - decrease the size of the allocation (a 10x larger array than in the example works fine). If you have",0
48,I suppose YouTube changed something in the layout of the page.,0
49,that's not what it should be.,1
50,"I tested my app on Genymotion, Galaxy Nexus and S4 today, and I haven't seen any bugs.",0
51,"I end up with a lot of slots in my shiny server, and I have to add the same people each time.",0
52,it's a terrible thing.,1
53,"I guess you should enable jarhell checks in your app, and I'll use it in the future for all of them.",0
54,"I think we're at the mercy of Gstreamer, it's not something we can change.",1
55,This issue opened on 21 Dec 2015. No import to database from csv ((3 years gone),0
56,"In 99 % of cases, there is no real need for test scope, so in future versions it may be the way to go. For example all our REST tests run on this clusters are far more reliable than all other tests.",0
57,I just tested the same thing on demo.thingsboard.io and can't reproduce the problem. Difference between v2.5.2 and development 3.1 shows no changes to anything CoAP related.,0
58,1 to enable by default.,0
59,"using sleep is not the best solution, as it won't work 100% in all cases. I tried a lot of different solutions and no one worked well for me.",0
