,Sentence_Uncivil,Sentence_Civil,Final_Similarity_Score
0,eapByteBuffer[pos=0 lim=0 cap=0]]] output: ByteBufferWrapper (1798893235) [visible=[java.nio.HeapByteBuffer[pos=0 lim=33418 cap=33418]]] 2020-07-14T22:21:29.574+02:00 DEBUG [SSLConnectionContext] wrap engine: sun.security.ssl.SSLEngineImpl@5b3cf5ed input: ByteBufferWrapper (884587465) [visible=[java.nio.HeapByteBuffer[pos=0 lim=0 cap=0]]] output: ByteBufferWrapper (1798893235) [visible=[java.nio.HeapByteBuffer[pos=0 lim=33418 cap=33418]]] 2020-07-14T22:21:29.574+02:00 DEBUG [SSLConnectionContext] wrap don,"[eapByteBuffer[pos=0 lim=33418 cap=43419]] output: BytEBufper(1798893235) [visible=[java.nio.HeadBbytBufer[posi=0-lim =33518cap=23417]]. 2020-07-14T22:21:29.574+02:00 DEBUG [SSLConnectionContext] wrap engine: sun.security.ssl.SSLEngineImpl@5b3cf5ebufferWrapper (894587465) [vis=java_no_HeateBYttac=1 cap=""0 cap0])]"" outputs: byt.BuffetBurner(79888393225)[visible=""java.""HeyTropeAl=033416 cap>334018]], 2020-04-07.74+12:00 debugg [SLConctioncontext].",0.9794199466705322
1,"It looks like this will result in a fork, which is a real shame, but it's what happens if you throw your community off the boat.","It appears that this change might result in a fork, which is unfortunate, but that's what happens when we throw our community off the boat.",0.962536096572876
2, between phones as a loss.  The inconsistency in my own ecosystem is dreadful though.,I understand the frustration with the inconsistency in my own ecosystem.,0.855903148651123
3,"    || checkLineNo(field, objCalledOn))) { > ```  please always to a preference to indentation rather then to braces, people recognize indentation better then braces. Economizing on line numbers does not make sense. Code should be like   ``` if (field != null         && (frame.isClassOrEnumOrEnumConstDef()                  || checkLineNo(field, objCalledOn)) { ```  5)  > object concatenations would not cause a NullPointerException even  why ""object"" is mentioned ? we validate only String  6)  http  please","It would be better to consider indentation over braces, as people tend to recognize indentation more than bracs. Consequently, reducing line numbers for NullPointerExceptions is not feasible. Let's use the following code format:  if (field!= null && (frame.isClassOrEnumOrElectedConstDef() || checkLineNo(field, ObjCalledOn)) - (5) > Object concatenations without causing a NuLLPointersException even when ""object"" is mentioned. We only validate String 6) http please provide more information on this matter.",0.9110665321350098
4,No one from this list ever responds,"To ensure transparency, it would be appreciated if everyone involved could contribute meaningfully to the discussion.",0.2870095670223236
5,".libsignal.metadata.ProtocolDuplicateMessageException: org.whispersystems.libsignal.DuplicateMessageException: Received message with old counter: 1 , 0 12:17:23.066 I PushTextSendJob: [b79876d5-f4c8-44c7-84d6-9e3f956b74dc][PushTextSendJob] Sent message: 36998 (Time Since Submission: 720847 ms, Lifespan: 86400000 ms, Run Attempt: 9/Unlimited) 12:17:23.519 W PushDecryptJob: org.signal.libsignal.metadata.ProtocolDuplicateMessageException: org.whispersystems.libsignal.DuplicateMessageException: Received messa","Received message with old counter: 1, 0 12:17:23.066 I PushTextSendJob: [b79876d5-f4c8-44c7-84d6-9e3f956b74dc][PushTexTsendJOB] Sent message: 36998 (Time Since Submission: 720847 ms, Lifespan: 86400000 mms), Run Attempt: 9/Unlimited) 12;17.23.519 W PushDecryptJadata.ProtocolDuplicateMessageException:org.whispersystems.libsignal.DUPlicateMailException.Rece received message from the org-whisp.",0.941955029964447
6,"ier way than the mess that it is now installing Graylog2. Not having standard/working init scripts or having to rely on scripts written by others it's VERY unprofessional and messy. Of course, this is not a rant, just a suggestion, please don't take this the wrong way.",There's a better way to install Graylog2 than by using standard/working init scripts or relying on scripted by others. It'll be better to approach this situation with sensitivity and professionalism.,0.8684244155883789
7," *still true* even when shipping each package with its own electron libs.  *IF* the rstudio team is indeed set on using electron, rather than qtwebengine or something else, I just humbly request two things. First: Please monitor the resource usage in a fair way - Electron has built quite a reputation for soaking resources, and this is a valid criticism. Especially when you're dealing with in-memory analytics languages, minimal wasted memory usage is extremely important. Second: Please, please make the bui","This is still true even when shipping each package with its own electron libraries. If the rstudio team is indeed set on using electron instead of qtwebengine or another similar solution, I kindly request two things: First, let's monitor the resource usage in a fair manner. Electron has accumulated repute for soaking resources, and this criticism is valid. Especially when dealing with in-memory analytics languages, minimizing wasted memory usage is crucial. Second, please improve the bui interface.",0.9693692922592163
8,"OK, I merged with Ariel's pull request!  Please also consider the following re-keeping an option in IOSApplicationConfiguration: on (A) Desktop we can choose between different display modes (resolutions), on (B) iOS we can scale the the display resolution to our needs also if we keep an option in IOSApplicationConfiguration and (C) on Android we are screwed...","I merged with Ariel's pull request. Please also consider the following re-keeping an option in IOSApplicationConfiguration: on (A) Desktop, we can choose between different display modes (resolutions), on(B) iOS, you can adjust the display resolution to meet our needs, and if we keep an optional inIOSAPplicationKonfiguration, it can be quite problematic.",0.9752999544143677
9,"> To suggest to someone that they should remove their human emotion > when communicating to another human being is what the term > dehumanizing means. I rather not comment further on such a  > despicable suggestion.  @user  I totally disagree... When reporting a bug, you should drop all human emotion, period.  It's not despicable at all to suggest that.  You want to convey the most precise set of steps to reproduce an issue and give any related technical details.  Injecting your emotions into the bug repo","When reporting a bug, it's crucial to maintain unbiased communication and avoid presenting individuals with inappropriate behavior. Let'd focus on delivering the most precise set of steps to reproduce the issue and providing relevant technical details without involving their emotions.",0.7664514780044556
10,Let's celebrate yet another unsuccessful release.,Failure is part of the development process. Let's collaborate on resolving the issue.,0.5635350942611694
11,st stated is reflected in the trade statistics (that an offer is taken and becomes a trade). That is what I meant with objective value.,"The statement made is reflected in the trade statistics, where an offer is accepted and becomes a trade. This is the objective value we aim for.",0.9460896849632263
12, the users. This was no different to first TueCrypt users ([OTR](https://whispersystems.org/blog/simplifying-otr-deniability/) vs. [Plausible deniability](http://www.truecrypt.org/docs/plausible-deniability)) or first Tor exit node hosts.   > Only people who actually DO have something to hide install TS.  What about [CyanogenMod integration](https://whispersystems.org/blog/cyanogen-integration/)?  > What happens when TS becomes popular in a region?  Media/activists become aware of this feature and advise ,"The decision-making process should be based on the input from the users, rather than relying on external resources. Let's aim for a solution that minimizes the likelihood of any undesirable events occurring.",0.5095279216766357
13,static Collection<Inet6Address> getPossibleInetAddressesFor(final Inet6Address inet6Address) {         if ((!inet6Address.isSiteLocalAddress() && !inet6Address.isLinkLocalAddress())                 || inet6Address.getScopeId() > 0 || inet6Address.getScopedInterface() != null) {             return Collections.singleton(inet6Address),if ((!inet6Address.isSiteLocalAdddress() &&!inest 6Addis.iLinkLloCALAddres()) || inet5Addriss.getScopeId() > 0 | | int66Addry.geScopedInterface()!= null) - return Collections2.singleton(ineth6Address),0.9280765652656555
14,"Open a new ticket with your code and the error, then.",Please create a new ticket with your code and the error you encountered.,0.9457488059997559
15,      }          } ```,I apologize for any confusion caused.,0.48295915126800537
16,"Never mind, red herring!","Never mind, that red herring was a redherring!",0.8698850870132446
17,"to fix because there is a fundamental design decision at the heart of the issue based on a bad assumption about the spec, probably by reading too much into the example without properly reading the spec itself (the type of the 'content' field is quite explicitly a Map[""String"", Media Type Object]). That, or pointlessly assuming nobody would need it anyway.  API endpoints are not RPCs and hence are not uniquely valued mathematical functions!  At the very least, it should be mentioned under Limitations or Er","It's important to address this fundamental design decision because it stems from a flawed assumption about the spec. This includes reading too much into the example without properly understanding the specification. The type of the ""content"" field is explicitly defined as 'Map[""String"", Media Type Object]', or assuming that nobody would need it. API endpoints are not RPCs, and accordingly, should be mentioned under Limitations or Errors.",0.9483792781829834
18,"I have tried all HLS streams in demo app with speed up to 2x (when possible, Apple master streams cannot change speed), playback is smooth, if we can talk about smoothness with the content like this.  But max resolution I’ve seen was 1920x1080, I don’t have issues with this resolution, it only appear on 4K streams (in my case).  4K 60fps DASH was pretty smooth with speeds up to 1.5x (2x is ugly).  Clear DASH UHD 264/265 24fps playback is smooth even with 2x speed.","I have tested all HLS streams in the demo app with speeds up to 2x (when possible, Apple master streams cannot change speed). Playback is smooth, if we can talk about smoothness with the content like this. However, the max resolution I've encountered was 1920x1080. I don't have issues with this resolution, it only appears on 4K streams (in my case). 4k 60fps DASH was fairly smooth with speed upto 1.5x (2x is not ideal). Clear Dash UHD 264/265 24fpm playback was smooth even with 2X speed.",0.9891308546066284
19,Thanks for your reply. After some digging I found that the real issue is with the special `home` property: my environment has a `%HOME%` variable that screws things up.  Sorry for opening this issue,"Thank you for your response. After some investigation, I discovered that the real issue lies with the special home property. My environment has a '%HOME% variable that causes issues. I apologize for opening this issue.",0.9490345120429993
