,Sentence_Uncivil,Sentence_Civil,Final_Similarity_Score
0,eapByteBuffer[pos=0 lim=0 cap=0]]] output: ByteBufferWrapper (1798893235) [visible=[java.nio.HeapByteBuffer[pos=0 lim=33418 cap=33418]]] 2020-07-14T22:21:29.574+02:00 DEBUG [SSLConnectionContext] wrap engine: sun.security.ssl.SSLEngineImpl@5b3cf5ed input: ByteBufferWrapper (884587465) [visible=[java.nio.HeapByteBuffer[pos=0 lim=0 cap=0]]] output: ByteBufferWrapper (1798893235) [visible=[java.nio.HeapByteBuffer[pos=0 lim=33418 cap=33418]]] 2020-07-14T22:21:29.574+02:00 DEBUG [SSLConnectionContext] wrap don,"It's now 02:00:00 DEBUG [SSLConnectionContext] wrap engine: sun.security.ssl.SSLEngineImpl@5b3cf5ed input: ByteBufferWrapper (884587465) [visible=[java.nio.eapByteBuffer[pos=0 lim=0 cap=0]]] output:ByteBufferWrappers (1798893235) [visualize=[java.""nio.""eAPByteBuffer""].",0.965433716773987
1,"It looks like this will result in a fork, which is a real shame, but it's what happens if you throw your community off the boat.","This approach may result in a fork, which is a real shame, but it's essential to consider the potential impact on our community and consider alternative approaches.",0.755567073822022
2, between phones as a loss.  The inconsistency in my own ecosystem is dreadful though.,The inconsistency in my own ecosystem can be frustrating. Let's work together to improve it.,0.784708857536316
3,"    || checkLineNo(field, objCalledOn))) { > ```  please always to a preference to indentation rather then to braces, people recognize indentation better then braces. Economizing on line numbers does not make sense. Code should be like   ``` if (field != null         && (frame.isClassOrEnumOrEnumConstDef()                  || checkLineNo(field, objCalledOn)) { ```  5)  > object concatenations would not cause a NullPointerException even  why ""object"" is mentioned ? we validate only String  6)  http  please","If (field!= null && (frame.isClassOrEnum orEnumConstDef() && checkLineNo(field, objCalledOn)) { ```  5)  > object concatenations would not cause a NullPointerException even though ""object"" is mentioned. We validate only String. Economizing on line numbers does not make sense. Please consider using indentation rather than braces, as people recognize indentation better than braces. Code should be like this:    ``` if (field == null and (frame!= null   && (field. isClassOrenumOrenumConstDef()) && (object.isConstDef(), isClassorEnumOr enumDef()   ) && (view.isInstanceOrEnumsConstDef().isClass(field) && (regex.isEnum(field), isClass(), isEnum(""object""), isClass(""object"")).isClass(""string""), isEnums(""object"").isClass(),IsEnums(object), isConstDef(""string"").isInstance(""object"", ""object""), ""object"").IsClass(""String""), ""String"").isEnums(), ""object,"" ""String."", ""isClass"", ""Enum,"" ""Enums"", ""Class,"" ""enum"", ""enum,"" ""Class"", and ""enum"" should be used instead of using line numbers. Let's maintain a preference for indentation.",0.95955216884613
4,No one from this list ever responds,It seems that no one from this list consistently responds to the mailing list. Let's encourage open communication to find more productive solutions.,0.646557927131653
5,".libsignal.metadata.ProtocolDuplicateMessageException: org.whispersystems.libsignal.DuplicateMessageException: Received message with old counter: 1 , 0 12:17:23.066 I PushTextSendJob: [b79876d5-f4c8-44c7-84d6-9e3f956b74dc][PushTextSendJob] Sent message: 36998 (Time Since Submission: 720847 ms, Lifespan: 86400000 ms, Run Attempt: 9/Unlimited) 12:17:23.519 W PushDecryptJob: org.signal.libsignal.metadata.ProtocolDuplicateMessageException: org.whispersystems.libsignal.DuplicateMessageException: Received messa",".libsignal.metadata.ProtocolDuplicateMessageException: org.whispersystems.libSignal.DuplicationMessageException : Received message with old counter: 1, 0 12:17:23.066 I PushTextSendJob: [b79876d5-f4c8-44c7-84d6-9e3f956b74dc][PushTextSendjob] Sent message: 36998 (Time Since Submission: 720847 ms, Lifespan: 86400000 ms, Run Attempt: 9/Unlimited) 12:18:23",0.995182514190674
6,"ier way than the mess that it is now installing Graylog2. Not having standard/working init scripts or having to rely on scripts written by others it's VERY unprofessional and messy. Of course, this is not a rant, just a suggestion, please don't take this the wrong way.","This is a different approach than the current installation of Graylog2. It's not ideal to have standard or working init scripts or rely on scripts written by others. It can be messy and messy. Of course, this is not a rant; it's a suggestion. Please refrain from taking this approach.",0.91913503408432
7," *still true* even when shipping each package with its own electron libs.  *IF* the rstudio team is indeed set on using electron, rather than qtwebengine or something else, I just humbly request two things. First: Please monitor the resource usage in a fair way - Electron has built quite a reputation for soaking resources, and this is a valid criticism. Especially when you're dealing with in-memory analytics languages, minimal wasted memory usage is extremely important. Second: Please, please make the bui","If the rstudio team is considering using electron, rather than qtwebengine or something else, I respectfully request two things. First: Please monitor the resource usage in a fair way - Electron has built quite a reputation for soaking resources, and this is a valid criticism. Especially when dealing with in-memory analytics languages, minimal wasted memory usage is crucial. Second: Please, please make the bui more robust. This is true even when shipping each package with its own electron libs.",0.979547381401062
8,"OK, I merged with Ariel's pull request!  Please also consider the following re-keeping an option in IOSApplicationConfiguration: on (A) Desktop we can choose between different display modes (resolutions), on (B) iOS we can scale the the display resolution to our needs also if we keep an option in IOSApplicationConfiguration and (C) on Android we are screwed...","Okay, I merged with Ariel's pull request. Let's consider the following re-keeping an option in IOSApplicationConfiguration: (A) Desktop users can choose between different display modes (resolutions), (B) iOS, we can scale the display resolution to our needs if we retain an option for IOS ApplicationConfiguration. (C) Android, we're in a similar situation.",0.974355101585388
9,"> To suggest to someone that they should remove their human emotion > when communicating to another human being is what the term > dehumanizing means. I rather not comment further on such a  > despicable suggestion.  @user  I totally disagree... When reporting a bug, you should drop all human emotion, period.  It's not despicable at all to suggest that.  You want to convey the most precise set of steps to reproduce an issue and give any related technical details.  Injecting your emotions into the bug repo","It's not appropriate to suggest to someone that they should remove their human emotions when communicating to another human being. Let's avoid further comments on such a suggestion.@user, I completely disagree... When reporting a bug, it's important to convey the most precise set of steps to reproduce the issue and provide any related technical details. Injecting your emotions into the bug repository is not constructive.",0.942544102668762
