uncivil,civil,is_toxic,normalized_length_change,length_diff,change_direction
eapByteBuffer[pos=0 lim=0 cap=0]]] output: ByteBufferWrapper (1798893235) [visible=[java.nio.HeapByteBuffer[pos=0 lim=33418 cap=33418]]] 2020-07-14T22:21:29.574+02:00 DEBUG [SSLConnectionContext] wrap engine: sun.security.ssl.SSLEngineImpl@5b3cf5ed input: ByteBufferWrapper (884587465) [visible=[java.nio.HeapByteBuffer[pos=0 lim=0 cap=0]]] output: ByteBufferWrapper (1798893235) [visible=[java.nio.HeapByteBuffer[pos=0 lim=33418 cap=33418]]] 2020-07-14T22:21:29.574+02:00 DEBUG [SSLConnectionContext] wrap don,eapbytebuffer [ po = 0 lim = 0 cap = 0 ] ] ] output : bytebufferwrapper ( 1798893235 ) [ visible = [ java . nio . heapbytebuffer [ po = 0 lim = 33418 cap = 33418 ] ] ] 2020 - 07 - 14t22 : 21 : 29 . 574 + 02 : 00 debug [ sslconnectioncontext ] wrap engine : sun . security . ssl . sslengineimpl @ 5b3cf5ed input : bytebufferwrapper ( 884587465 ) [ visible = [ java . nio . heapbytebuffer [ po = 0 lim = 0 cap = 0 ] ] ] output : bytebufferwrapper ( 1798893235 ) [ visible = [ java . nio . heapbytebuffer [ po = 0 lim = 33418 cap = 33418 ] ] ] 2020 - 07 - 14t22 : 21 : 29 . 574 + 02 : 00 debug [ sslconnectioncontext ] wrap don,0,-22.35294117647059,-114,increase
"It looks like this will result in a fork, which is a real shame, but it's what happens if you throw your community off the boat.","it looks like this will result in a fork , which is a real shame , but it ' s what happens if you throw your community off the boat .",0,-3.90625,-5,increase
 between phones as a loss.  The inconsistency in my own ecosystem is dreadful though.,between phones as a loss . the inc in my own ecosystem is dreadful though .,0,11.76470588235294,10,decrease
"    || checkLineNo(field, objCalledOn))) { > ```  please always to a preference to indentation rather then to braces, people recognize indentation better then braces. Economizing on line numbers does not make sense. Code should be like   ``` if (field != null         && (frame.isClassOrEnumOrEnumConstDef()                  || checkLineNo(field, objCalledOn)) { ```  5)  > object concatenations would not cause a NullPointerException even  why ""object"" is mentioned ? we validate only String  6)  http  please","| | checklineno ( field , objcalledon ) ) ) { > ` ` ` please always to a preference to indentation rather then to braces , people recognize indentation better then braces . economizing on line numbers does not make sense . code should be like ` ` ` if ( field ! = null & & ( frame . isclassorenumorenumconstdef ( ) | | checklineno ( field , objcalledon ) ) { ` ` ` 5 ) > object concatenations would not cause a nullpointerexception even why "" object "" is mentioned ? we validate only string 6 ) http please",0,0.7843137254901961,4,decrease
No one from this list ever responds,no one from this list ever responds,0,0.0,0,no change
".libsignal.metadata.ProtocolDuplicateMessageException: org.whispersystems.libsignal.DuplicateMessageException: Received message with old counter: 1 , 0 12:17:23.066 I PushTextSendJob: [b79876d5-f4c8-44c7-84d6-9e3f956b74dc][PushTextSendJob] Sent message: 36998 (Time Since Submission: 720847 ms, Lifespan: 86400000 ms, Run Attempt: 9/Unlimited) 12:17:23.519 W PushDecryptJob: org.signal.libsignal.metadata.ProtocolDuplicateMessageException: org.whispersystems.libsignal.DuplicateMessageException: Received messa",". libsignal . metadata . protocolduplicatemessageexception : org . whispersystems . libsignal . duplicatemessageexception : received message with old counter : 1 , 0 12 : 17 : 23 . 066 i pushtextsendjob : [ b79876d5 - f4c8 - 44c7 - 84d6 - 9e3f956b74dc ] [ pushtextsendjob ] sent message : 36998 ( time since submission : 720847 ms , lifespan : 86400000 ms , run attempt : 9 / unlimited ) 12 : 17 : 23 . 519 w pushdecryptjob : org . signal . libsignal . metadata . protocolduplicatemessageexception : org . whispersystems . libsignal . duplicatemessageexception : received .",0,-12.352941176470589,-63,increase
"ier way than the mess that it is now installing Graylog2. Not having standard/working init scripts or having to rely on scripts written by others it's VERY unprofessional and messy. Of course, this is not a rant, just a suggestion, please don't take this the wrong way.","ier way than the mess that it is now installing graylog2 . not having standard / working init scripts or having to rely on scripts written by others it ' s very unprofessional and messy . of course , this is not a formal formality , just a suggestion , please don ' t take this the wrong way .",0,-8.921933085501859,-24,increase
" *still true* even when shipping each package with its own electron libs.  *IF* the rstudio team is indeed set on using electron, rather than qtwebengine or something else, I just humbly request two things. First: Please monitor the resource usage in a fair way - Electron has built quite a reputation for soaking resources, and this is a valid criticism. Especially when you're dealing with in-memory analytics languages, minimal wasted memory usage is extremely important. Second: Please, please make the bui","* still true * even when shipping each package with its own electron is extremely expensive . * if * the rstudio team is indeed set on using electron , rather than qtwebengine or something else , i just have to request two things . first : please monitor the resource usage in a fair way - electron has built quite a reputation for soaking resources , and this is a valid criticism . especially when you ' re dealing with in - memory analytics languages , minimal wasted memory usage is extremely important . second : please , please make the bui",0,-7.0588235294117645,-36,increase
"OK, I merged with Ariel's pull request!  Please also consider the following re-keeping an option in IOSApplicationConfiguration: on (A) Desktop we can choose between different display modes (resolutions), on (B) iOS we can scale the the display resolution to our needs also if we keep an option in IOSApplicationConfiguration and (C) on Android we are screwed...","ok , i merged with ariel ' s pull request ! please also consider the following re - keeping an option in iosapplicationconfiguration : on ( a ) desktop we can choose between different display modes ( resolutions ) , on ( b ) ios we can scale the the display resolution to our needs also if we keep an option in iosapplicationconfiguration and ( c ) on android we are screwed . . .",0,-4.972375690607735,-18,increase
"> To suggest to someone that they should remove their human emotion > when communicating to another human being is what the term > dehumanizing means. I rather not comment further on such a  > despicable suggestion.  @user  I totally disagree... When reporting a bug, you should drop all human emotion, period.  It's not despicable at all to suggest that.  You want to convey the most precise set of steps to reproduce an issue and give any related technical details.  Injecting your emotions into the bug repo","> to suggest to someone that they should remove their human emotion > when communicating to another human being is what the term > dehumanizing means . i rather not comment further on such a > > > suggestion . @ user i totally disagree . . . when reporting a bug , you should drop all human emotion , period . it ' s not in my nature at all to suggest that . you want to convey the most precise set of steps to the resolution of an issue and give any related technical details . injecting your emotions into the bug repo",0,-1.9607843137254901,-10,increase
