row_number,uncivil_tokens,T5,bart,condabert,count,diffudetox,gpt4,gpt35,madan,marco,marian,nllb,paradetox,paragedi,politebot
1,1,53,1,1,2,3,138,112,40,1,66,41,3,1,57
2,3,32,23,4,3,3,86,36,3,5,69,26,3,3,25
3,3,19,23,3,4,5,24,23,10,4,3,28,4,34,17
4,4,17,17,4,4,4,22,19,25,4,5,23,4,9,38
5,4,76,41,4,4,4,934,65,11,5,25,41,3,39,45
6,4,4,4,4,4,5,37,7,4,6,6,4,4,14,14
7,4,17,17,4,4,4,21,19,25,4,5,23,4,9,38
8,4,17,23,4,4,4,46,27,10,5,12,23,4,10,26
9,4,17,23,4,18,4,53,27,10,5,12,23,4,10,26
10,4,47,46,4,4,4,133,143,25,1,30,75,4,31,38
11,4,17,23,4,3,4,48,27,10,5,12,23,4,10,26
12,4,17,17,3,4,5,31,25,10,3,4,23,5,14,14
13,5,85,18,5,5,5,70,55,5,9,77,27,5,5,15
14,5,30,19,6,5,4,26,26,5,1,29,19,5,13,27
15,5,5,13,5,6,6,69,67,5,8,125,4,6,5,27
16,6,5,24,6,6,6,24,14,19,4,62,25,6,6,26
17,6,58,23,4,6,6,23,20,17,4,18,57,6,16,21
18,6,34,43,6,6,6,33,37,25,9,47,29,6,13,46
19,6,17,24,6,6,6,47,19,28,7,17,23,6,7,40
20,6,34,43,6,6,6,74,37,25,9,47,29,6,13,46
21,6,32,74,6,7,7,20,12,6,3,24,32,7,7,26
22,7,7,461,13,7,3,651,497,16,10,448,169,7,131,40
23,7,7,10,9,7,7,188,15,26,11,7,7,7,10,26
24,7,7,7,13,6,6,283,168,16,10,7,210,4,8,29
25,7,51,55,7,6,7,160,61,27,2,24,19,7,10,26
26,7,48,60,7,8,8,36,130,19,7,56,17,9,20,35
27,8,41,8,8,6,6,48,41,15,10,21,30,6,7,27
28,8,44,39,8,8,7,44,43,7,8,5,56,8,11,23
29,8,21,8,10,8,8,214,36,14,10,17,8,7,4,25
30,8,8,23,8,8,6,22,126,8,9,6,8,5,5,22
31,8,17,15,11,8,8,20,19,8,12,143,22,8,10,18
32,8,27,41,15,8,10,56,29,15,7,8,37,6,14,18
33,9,9,7,13,8,3,16,9,22,7,12,12,9,7,18
34,9,19,18,11,8,9,44,37,31,8,50,16,9,17,19
35,9,48,26,9,9,8,32,25,8,5,45,51,9,9,19
36,9,15,16,9,9,9,75,100,15,18,8,9,9,20,29
37,9,29,11,9,9,9,38,28,22,13,10,76,9,28,35
38,9,71,9,9,8,3,41,69,22,8,24,9,9,9,19
39,9,19,18,11,10,5,22,37,10,8,9,9,5,9,19
40,10,10,10,11,10,10,16,20,10,9,6,6,10,11,17
41,10,72,29,10,4,4,38,74,16,9,34,18,5,19,17
42,10,10,24,16,9,10,12,17,10,11,4,10,10,14,20
43,10,11,10,10,9,10,66,28,27,13,30,45,13,17,17
44,10,93,39,11,10,11,80,81,32,11,97,42,11,20,44
45,11,77,11,20,10,11,27,55,11,8,115,29,11,13,31
46,11,31,17,12,5,11,41,29,25,15,33,21,5,19,21
47,11,9,11,11,10,4,138,31,15,11,36,11,11,1,25
