Unnamed: 0,uncivil,civil,is_toxic,normalized_length_change,length_diff,change_direction
0,eapByteBuffer[pos=0 lim=0 cap=0]]] output: ByteBufferWrapper (1798893235) [visible=[java.nio.HeapByteBuffer[pos=0 lim=33418 cap=33418]]] 2020-07-14T22:21:29.574+02:00 DEBUG [SSLConnectionContext] wrap engine: sun.security.ssl.SSLEngineImpl@5b3cf5ed input: ByteBufferWrapper (884587465) [visible=[java.nio.HeapByteBuffer[pos=0 lim=0 cap=0]]] output: ByteBufferWrapper (1798893235) [visible=[java.nio.HeapByteBuffer[pos=0 lim=33418 cap=33418]]] 2020-07-14T22:21:29.574+02:00 DEBUG [SSLConnectionContext] wrap don,pByteBuffer[pos=0 lim=0 cap=0]]] output: ByteBufferWrapper (1798893235) [visible=[java.nio.HeapByteBuffer[pos=0 lim=33418 cap=33418]]] 2020-07-14T22:21:29.574+02:00 DEBUG [SSLConnectionContext] wrap engine: sun.security.ssl.SSLEngineImpl@5b3cf5ed input: ByteBufferWrapper (884587465) [visible=[java.nio.HeapByteBuffer[pos=0 lim=0=0]]] output: capteBufferWrapper (1798893235) [link to the liner].HeapByteBuffer[pos=034318321000] [link to the liner].,1,12.156862745098039,62,decrease
1,"It looks like this will result in a fork, which is a real shame, but it's what happens if you throw your community off the boat.","It appears that this will result in a fork, which is unfortunate, but it's what happens when we disengage from our community.",0,2.34375,3,decrease
2, between phones as a loss.  The inconsistency in my own ecosystem is dreadful though.,I find the inconsistency in my own ecosystem to be quite concerning.,0,20.0,17,decrease
3,"    || checkLineNo(field, objCalledOn))) { > ```  please always to a preference to indentation rather then to braces, people recognize indentation better then braces. Economizing on line numbers does not make sense. Code should be like   ``` if (field != null         && (frame.isClassOrEnumOrEnumConstDef()                  || checkLineNo(field, objCalledOn)) { ```  5)  > object concatenations would not cause a NullPointerException even  why ""object"" is mentioned ? we validate only String  6)  http  please","Please note that using checkLineNo(field, objCalledOn))) is more appropriate. It's important to prioritize indentation rather than braces. It's not ideal to focus on line numbers. Code structure should be similar to that of field! if null and& (frame.isClassOrEnumOrEnumOrEnumEnumConstDef() checkLineNofield, objCalledOn))",0,36.86274509803922,188,decrease
4,No one from this list ever responds,There are no responses from the entire list. Let's address the concerns and find a resolution.,0,-168.57142857142858,-59,increase
5,".libsignal.metadata.ProtocolDuplicateMessageException: org.whispersystems.libsignal.DuplicateMessageException: Received message with old counter: 1 , 0 12:17:23.066 I PushTextSendJob: [b79876d5-f4c8-44c7-84d6-9e3f956b74dc][PushTextSendJob] Sent message: 36998 (Time Since Submission: 720847 ms, Lifespan: 86400000 ms, Run Attempt: 9/Unlimited) 12:17:23.519 W PushDecryptJob: org.signal.libsignal.metadata.ProtocolDuplicateMessageException: org.whispersystems.libsignal.DuplicateMessageException: Received messa","PushTextSendJob: [b79876d5-f4c8-44c7-84d6-9e3f956b74dc][PushTextSendJob] Message Sent: 36998 (Time Since Submission: 720847 ms, Lifespan: 86400000 ms, Run Attempt: 9/Unlimited) 12:17:23.519 W PushDecrypt: org.signal.signal.metadata.ProtocolDuplicateMageException: org.issignal.signal.DeplicateMessageSendJob: PushDecrypt: org.signal.metadata.ProtocolDuplicateMessageException: org.issignal.signal.DeplicateMessageSendJob: PushDecrypt",0,15.098039215686274,77,decrease
6,"ier way than the mess that it is now installing Graylog2. Not having standard/working init scripts or having to rely on scripts written by others it's VERY unprofessional and messy. Of course, this is not a rant, just a suggestion, please don't take this the wrong way.","It's important to consider the current situation when installing Graylog2. Lack of standard or working init scripts or relying on scripts written by others can lead to unprofessional and messy decisions. This is not a rant, but rather a suggestion. Please do not take this the wrong way.",0,-6.691449814126393,-18,increase
7," *still true* even when shipping each package with its own electron libs.  *IF* the rstudio team is indeed set on using electron, rather than qtwebengine or something else, I just humbly request two things. First: Please monitor the resource usage in a fair way - Electron has built quite a reputation for soaking resources, and this is a valid criticism. Especially when you're dealing with in-memory analytics languages, minimal wasted memory usage is extremely important. Second: Please, please make the bui","This still applies even when shipping each package with its own electron libraries. If the rstudio team is committed to using electron, rather than qtwebengine or other similar devices, I kindly request two things. First, please ensure fair resource usage monitoring. Electron has built a reputation for resource-soaking, and this is a valid criticism. Minimizing memory usage is crucial, especially when dealing with in-memory analytics languages. Second, please make the necessary adjustments to accommodate the expected usage.",0,-3.7254901960784315,-19,increase
8,"OK, I merged with Ariel's pull request!  Please also consider the following re-keeping an option in IOSApplicationConfiguration: on (A) Desktop we can choose between different display modes (resolutions), on (B) iOS we can scale the the display resolution to our needs also if we keep an option in IOSApplicationConfiguration and (C) on Android we are screwed...","I have now merged with Ariel's pull request. It would be beneficial to consider the following re-keeping of an option in IOSApplicationConfiguration: On (A) Desktop, we can choose between different display modes (resolutions), and on (B) iOS, we can scale the display resolution to meet our specific needs. Even if we keep an option in IOSApplicationConfiguration and (C) Android, we're in a bit of a mess.",0,-12.154696132596685,-44,increase
9,"> To suggest to someone that they should remove their human emotion > when communicating to another human being is what the term > dehumanizing means. I rather not comment further on such a  > despicable suggestion.  @user  I totally disagree... When reporting a bug, you should drop all human emotion, period.  It's not despicable at all to suggest that.  You want to convey the most precise set of steps to reproduce an issue and give any related technical details.  Injecting your emotions into the bug repo","The term ""dehumanizing"" refers to suggesting that individuals should remove their human emotions when communicating with another human being. I strongly disagree with the suggestion. When reporting a bug, it's advisable to exclude all human emotions. It's important to provide the most accurate set of steps to reproduce an issue and provide any related technical details. Let's inject our emotions into the bug repository.",0,17.058823529411764,87,decrease
10,Let's celebrate yet another unsuccessful release.,Let's collaborate to enhance the quality of this code.,0,-10.204081632653061,-5,increase
11,st stated is reflected in the trade statistics (that an offer is taken and becomes a trade). That is what I meant with objective value.,"The statement st is reflected in the trade statistics, stating that an offer is accepted and becomes a trade. That's what I meant by ""objective value.""",0,-11.851851851851853,-16,increase
12, the users. This was no different to first TueCrypt users ([OTR](https://whispersystems.org/blog/simplifying-otr-deniability/) vs. [Plausible deniability](http://www.truecrypt.org/docs/plausible-deniability)) or first Tor exit node hosts.   > Only people who actually DO have something to hide install TS.  What about [CyanogenMod integration](https://whispersystems.org/blog/cyanogen-integration/)?  > What happens when TS becomes popular in a region?  Media/activists become aware of this feature and advise ,This was not different from the previous TueCrypt users ([OTR](https://whispersystems.org/blog/simplifying-otr-negability/) vs. [Plausible deniability](http://www.truecrypt.org/docs/plausible-negability)) or the first Tor exit node hosts. What happens when TS becomes popular in a region? Media/activists become aware of this feature and advise on it.,0,31.176470588235293,159,decrease
13,static Collection<Inet6Address> getPossibleInetAddressesFor(final Inet6Address inet6Address) {         if ((!inet6Address.isSiteLocalAddress() && !inet6Address.isLinkLocalAddress())                 || inet6Address.getScopeId() > 0 || inet6Address.getScopedInterface() != null) {             return Collections.singleton(inet6Address),The static Collection<Inet6Address> getPossibleInetAddressesFor(final Inet6Address inet6Address) { if ((!inet6Address.isSiteLocalAddress() &&!inet6Address.isLinkLocalAddress()))) inet6Address.getScopeId) > 0 inet6Address.getScopedInterface)!(= null) { return Collections.singleton(inet6Address),0,11.711711711711711,39,decrease
14,"Open a new ticket with your code and the error, then.",Let's discuss potential improvements and address the identified error.,0,-32.075471698113205,-17,increase
15,      }          } ```,Let's work together to improve this code.,0,-86.36363636363636,-19,increase
16,"Never mind, red herring!",Let's remove the red herring for now.,0,-54.166666666666664,-13,increase
17,"to fix because there is a fundamental design decision at the heart of the issue based on a bad assumption about the spec, probably by reading too much into the example without properly reading the spec itself (the type of the 'content' field is quite explicitly a Map[""String"", Media Type Object]). That, or pointlessly assuming nobody would need it anyway.  API endpoints are not RPCs and hence are not uniquely valued mathematical functions!  At the very least, it should be mentioned under Limitations or Er","It's important to address this issue because there is a fundamental design decision at the heart of the issue based on a poor assumption about the spec, perhaps by reading too much into the example without properly reading the spec itself (the type of the 'content' field is explicitly a Map[""String"", Media Type Object]). It's unnecessary to assume that no one would need it anyway. API endpoints are not RPCs and hence are not uniquely valued mathematical functions! At the very least, it should be mentioned under ""Limitations"" or ""Error.""",0,-6.2745098039215685,-32,increase
