uncivil_comment,civil_comment,,
"Yuck. Use %.70s, which will do this more gracefully","Instead use %.70s, which can handle this more gracefully.",,
function keyword is a bashism and IMHO looks ugly compared to 'usage() {'.,"'usage() {' looks more elegant compared to using the function keyword, which is a bashism.",,
"For this, you'd just check the whether the size of |entries| is === 1. Another option coul dbe to move the checks to the caller, but that might be more clumsy.","To handle this, you can simply check if the size of |entries| is equal to 1. Alternatively, you could consider moving the checks to the caller, although that approach might be less optimal.",,
"In the future, we should look into seeing if we make this a little cleaner instead of a crap load of info() lines.","In the future, it would be beneficial to explore ways of making this code cleaner instead of having an excessive amount of info() lines.",,
"the name is ugly, what can't it be openstack-ec2-api-service?",Could we consider renaming it to openstack-ec2-api-service? The current name is not very appealing.,,
lazy-lazy =),It's quite lazy indeed.,,
"yeah that sucked, fixed
 
 Done.","Yes, that was a problem, but it has been fixed now.
Done.",,
LOL you called my decorator stupid...=),"It's amusing that you referred to my decorator as ""stupid""...=)",,
"This line is super horrible and needs to die! Please do something like:
  
  attempts = 1
  if retries >= 1:
  attempts = retries + 1
 
 or something along those lines.
 
 also - a test would be nice (there are already tests that test some cases of this so just add another one in test_compute_mgr.py","This line is a work-in-progress and can do with much improvement. Perhaps something like this:attempts = 1
if retries >= 1:
attempts = retries + 1

It would also be beneficial to include a test for this case. You can add another test in test_compute_mgr.py since there are already tests covering some cases of this nature.",,
I think the formatting may have gotten screwed up (or Gerrit made it look ugly),I believe the formatting might have been disrupted (or Gerrit made it appear unattractive).,,
Might be cleaner to write an OCP that wraps this and prunes out the downloads... I know that's a lot more code/sucks but that's probably the cleanest way?  Can you just put this in the factory?  Or put it at each client?,"It might be cleaner to create an OCP (Object-Centric Programming) that wraps this functionality and removes unnecessary downloads. I understand that this would involve writing more code, which can be cumbersome, but it would likely be the most organized approach. Can you consider placing this code in the factory? Alternatively, you could include it at each client.",,
"ooh, burn!",That was a sharp comment!,,
"Yes, and ... crap.","Yes, and... it's unfortunate.",,
stupid style nit - list comprehension is slightly nicer.,Just a minor style suggestion - using list comprehension would be slightly neater.,,
"that english language stuff always confused the hell out of me....yep, I kept wordsmithing this line and still didn't like it.","Dealing with English language nuances can be quite confusing. Despite my efforts to refine this line, I still find it unsatisfactory.",,
doh. its awful! it should not be our work...,"Oh no, It should not represent our work.I am open for discussion of improvement..",,
"ah, shit. will fix.","Oops, my mistake. I will fix that.",,
"silly nit, this isn't valid JSON, you're missing a closing ]","It's a small issue, but this JSON is invalid since you're missing a closing ].",,
"#ifdef CONFIG_PM_RUNTIME

if you are feeling very anal about saving 1 byte...","#ifdef CONFIG_PM_RUNTIME

If you're particularly concerned about saving a single byte...",,
"Holy cow, when does this happen? Just tests? Any actual WSGI server that does this is horribly broken.","Goodness, when does this occur? Is it only during tests? Any WSGI server that exhibits this behavior is severely flawed.",,
much better (that acoles is pretty darn good huh...),"That's a significant improvement (Acoles did a great job, didn't they?)",,
"Chris, just a question about 'intrusive', how can I understand it? Why it sucks.","Chris, I have a question about 'intrusive'. Could you please explain its implications? Why is it considered unfavorable?",,
Damn! Thought I'd gotten rid of it everywhere. New patch incoming,Oh no! I thought I had eliminated it entirely. I will submit a new patch shortly.,,
"damn, and I thought I had gotten it right :P","Oh, and here I thought I had corrected it perfectly. :P",,
"Oh, yes, it was inconsistent already. I just copy pasted the previous code. Silly me.","Yes, it was already inconsistent. I mistakenly copied and pasted the previous code. My apologies for the oversight.",,
"Basically:
 
 if self.microversion and 'X-OpenStack-Nova-API-Version' in headers and headers['X-OpenStack-Nova-API-Version'] != self.microversion:
  self.fail('bad test setup i hate you so much')
 
 And:
 
 if not self.microversion and 'X-OpenStack-Nova-API-Version' in headers:
  self.fail('oh you dirty bastard')","Essentially:

if self.microversion and 'X-OpenStack-Nova-API-Version' in headers and headers['X-OpenStack-Nova-API-Version'] != self.microversion:
self.fail('There seems to be a problem with the test setup. I apologize for any inconvenience caused.')

And:

if not self.microversion and 'X-OpenStack-Nova-API-Version' in headers:
self.fail('Oh, that's unexpected!')",,
"I think this solution is braindead also, like the previous one. Can we try to ass the null.? Anyway, +2 because safe.","I believe this solution is not optimal, similar to the previous one. Can we attempt to add the null.? Nevertheless, it receives a +2 from me because it's safe.",,
Damn!,Oh no!,,
"The caching is only necessary for the performance benefit of not needing to do that service query from the DB every time we get an instance, which doubles the traffic to the DB on every instance query, which kind of sucks.
 
 Agree with leaving the caching in, that was my point with removing the TODO so we don't forget about this.","The caching is necessary to enhance performance by avoiding the need for a service query from the database each time we request an instance. Without caching, the traffic to the database doubles with every instance query, which is quite inconvenient.

I agree with keeping the caching functionality intact. That was the intention behind removing the TODO, so we don't forget about it.",,
"damnit, I hate it when I forget to save the file before I commit ;-)

yes they were notes as I was coding the C file

Done.","Oh no! I dislike it when I forget to save the file before committing. ;-)

Yes, those were notes I made while coding the C file.

Done",,
Damn. I thought I'd removed those. Sorry.,Oh no! I thought I had removed those. My apologies.,,
"Ah yes, I remember this damm mess now. Unfortunately some of the task code needs a conductor. Seems silly to do that over rpc just for dependency reasons.","Ah yes, I remember this complicated situation now. Unfortunately, some of the task code requires a conductor. It seems unnecessary to use RPC solely for dependency reasons.",,
